year	not_ur	ur
2010	2946	113
2011	3188	120
2012	4041	129
2013	4934	114
2014	5241	146
2015	6013	149
2016	5511	732
2017	4881	1657
2018	5414	2161
2019	6182	2423
2020	7114	2558
2021	8639	2521
2022	10228	2088
2023	8854	1731
2024	10384	1833
2025	9450	1716
