year	n	q25	median	q75
2010	3134	1.0	5.0	6.0
2011	3379	1.0	5.0	6.0
2012	4263	1.0	5.0	6.0
2013	5168	1.0	5.0	6.0
2014	5663	2.0	5.0	6.0
2015	6350	2.0	5.0	6.0
2016	6419	2.0	5.0	7.0
2017	6684	2.0	6.0	7.0
2018	7831	2.0	6.0	7.0
2019	8955	3.0	6.0	7.0
2020	10059	3.0	6.0	8.0
2021	11689	4.0	6.0	8.0
2022	12805	3.0	6.0	8.0
2023	10939	4.0	7.0	8.0
2024	12629	5.0	7.0	9.0
2025	11514	5.0	7.0	9.0
